Designator,Footprint,Quantity,Value,LCSC Part #
AE1,PATH_ANT_18x18x4mm,1,ANT_18x18x4mm,
AE2,SMA_Amphenol_901-143_Horizontal,1,Antenna_Shield,
BT1,BatteryHolder_Keystone_1060_1x2032,1,CR2032 Holder,
BZ1,Buzzer_8530,1,Buzzer,
C1,0603,1,4.7uF,
"C10, C13",0603,2,22pF,
"C11, C14",0603,2,2.2uF,
"C12, C15, C16, C19, C2, C21, C3, C39, C4, C40, C43, C44, C45, C46, C47, C48, C5, C7, C8, C9",0603,20,100nF,
"C17, C6",0603,2,1uF,
"C18, C22, C42",0603,3,10uF,
C20,0603,1,1nF,
"C23, C24",0603,2,1uF,C19702
"C25, C31, C32, C33",0603,4,10uF,C19702
"C26, C30",0603,2,100nF,C1590
"C27, C28",0805,2,10uF,
"C29, C34, C35, C38",0603,4,100nF,C19702
C36,0603,1,220nF,C19702
C37,0603,1,4.7uF,C19702
C41,0805,1,22uF,
D1,SOT-23,1,BAT54C,
D2,0603,1,PWR_LED,C2286
D3,D_SMA,1,SS34,
D4,0603,1,CHRG LED,C2286
D5,0603,1,FULL LED,C22371299
"D6, D7, D9",0603,3,STATUS_LED,C2286
D8,D_SOD-523,1,1N4448WT,
F1,0805,1,FUSE,C720076
J1,PinHeader_1x04_P2.54mm_Vertical,1,SW_CONN,
J2,CON_XH_254_R_SMD,1,BAT_CON,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J4,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
Q1,TSSOP-8_4.4x3mm_P0.65mm,1,FS8205A,
Q2,SOT-23,1,2SC1815-HF,
R1,0603,1,1M,
R10,0603,1,1.5K,
"R11, R31, R32",0603,3,1K,
"R12, R19, R20, R34",0603,4,TBD,
R13,1206,1,0.2R,
R14,0603,1,100R,
"R15, R16, R17",0603,3,1K,C22548
R18,0603,1,1.2K,C22765
"R2, R24, R25, R26, R27, R28, R29, R3, R30, R4",0603,10,10K,
"R22, R23",0603,2,4.7K,
R33,0603,1,470R,
"R35, R36",0402,2,22R,
R5,0603,1,2K,
"R6, R7",0603,2,100K,
"R8, R9",0603,2,5.1K,
SW10,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,EMERGENCY,
SW2,SW_SPST_PTS647_Sx38,1,BOOT0,
SW3,SW_SPST_PTS647_Sx38,1,RESET,
SW4,SW_SPDT_Shouhan_MSK12C02,1,MSK-12C02,C963206
SW5,SW_SPST_PTS647_Sx38,1,UP,
SW6,SW_SPST_PTS647_Sx38,1,DOWN,
SW7,SW_SPST_PTS647_Sx38,1,LEFT,
SW8,SW_SPST_PTS647_Sx38,1,RIGHT,
SW9,SW_SPST_PTS647_Sx38,1,SELECT,
TH1,0603,1,NTC 10K,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,
U10,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U11,RA-02,1,RA02,
U2,GP-02_FULL_PAD,1,GP-02,
U3,SOT-23-5,1,RT9013-33GB,
U4,SOT-23-6,1,DW01,C917079
U5,SOIC127P600X175-9N,1,TP4056,C725790
U6,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,LSM303DLHC,
U7,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U8,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,AT24C32D,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
