Designator,Mid X,Mid Y,Rotation,Layer
AE1,11.9,86.899999,0.0,top
AE2,36.4,94.35,0.0,top
BT1,25.0,81.5,0.0,bottom
BZ1,43.3,10.7,180.0,top
C1,19.25,63.9,0.0,top
C10,11.5,56.35,0.0,top
C11,30.5,42.375,90.0,top
C12,16.6,7.49,270.0,top
C13,11.5,50.55,180.0,top
C14,34.1,63.125,270.0,top
C15,11.5,58.25,180.0,top
C16,15.5,46.425,270.0,top
C17,10.562792,46.825,270.0,top
C18,15.65,70.25,0.0,top
C19,15.65,68.75,0.0,top
C2,19.25,62.4,0.0,top
C20,15.65,67.25,0.0,top
C21,15.65,73.34,0.0,top
C22,15.65,71.85,0.0,top
C23,7.55,18.9875,0.0,top
C24,7.6,24.6875,0.0,top
C25,7.55,17.4875,0.0,top
C26,17.4,43.8,270.0,top
C27,36.6,5.849999,90.0,top
C28,18.45,7.29,270.0,top
C29,34.8,5.629999,90.0,top
C3,32.0,42.375,270.0,top
C30,2.45,8.15,180.0,top
C31,10.8,9.7,0.0,top
C32,29.65,37.9,0.0,top
C33,37.0,44.35,90.0,top
C34,46.675,51.15,180.0,top
C35,29.65,39.4,0.0,top
C36,26.6,36.15,180.0,top
C37,21.2,38.7,270.0,top
C38,38.55,44.35,90.0,top
C39,17.4,40.725,90.0,top
C4,32.64,63.125,90.0,top
C40,46.4,76.3,270.0,top
C41,48.25,76.3,270.0,top
C42,22.4,66.4,180.0,top
C43,22.825,34.479438,0.0,top
C44,22.85,17.55,0.0,top
C45,14.375,26.0,0.0,top
C46,31.325,26.0,0.0,top
C47,22.8,26.029438,0.0,top
C48,41.7,49.225,270.0,top
C5,15.025,56.6,90.0,top
C6,14.0,46.425,270.0,top
C7,19.75,43.0,180.0,top
C8,12.05,46.825,270.0,top
C9,14.65,49.8,270.0,top
D1,11.65,60.7,180.0,top
D2,4.8,24.2,270.0,top
D3,32.2,4.9,90.0,top
D4,17.9,1.1,180.0,top
D5,14.237501,1.1,0.0,top
D6,44.562499,35.1,0.0,top
D7,44.562499,31.500001,0.0,top
D8,43.2,16.5,180.0,top
D9,44.562499,27.9,0.0,top
F1,4.5,13.75,90.0,top
H1,47.4,2.55,0.0,top
H2,47.4,97.5,0.0,top
H3,3.5,31.75,0.0,top
J1,47.4,68.61,180.0,top
J2,13.975001,12.07,90.0,bottom
J3,25.0,3.7,0.0,top
J4,25.0,68.9,90.0,top
Q1,6.05,5.2,0.0,top
Q2,41.1,18.1,90.0,top
R1,14.016542,53.2,270.0,top
R10,35.56,63.125,90.0,top
R11,47.65,27.9,0.0,top
R12,35.25,44.35,270.0,top
R13,37.3,2.8,0.0,top
R14,2.45,9.7,0.0,top
R15,9.8,2.650001,180.0,top
R16,9.837501,1.1,180.0,top
R17,2.525,1.8625,0.0,top
R18,17.95,4.75,0.0,top
R19,17.9,2.7,0.0,top
R2,23.1,43.0,0.0,top
R20,14.25,2.650001,0.0,top
R22,38.633333,49.225,270.0,top
R23,37.15,49.225,270.0,top
R24,17.45,37.7,270.0,top
R25,27.175,34.479438,0.0,top
R26,27.15,17.5,0.0,top
R27,18.7,26.0,0.0,top
R28,35.65,26.0,0.0,top
R29,27.15,26.029438,0.0,top
R3,3.75,61.7,180.0,top
R30,40.166667,49.225,270.0,top
R31,47.65,35.1,0.0,top
R32,47.649998,31.5,0.0,top
R33,44.45,18.9,0.0,top
R34,33.79,44.35,270.0,top
R35,26.0,9.35,90.0,top
R36,25.05,9.349999,90.0,top
R4,3.7,50.6,0.0,top
R5,3.15,24.25,90.0,top
R6,3.9,38.52,180.0,top
R7,3.9,40.0,0.0,top
R8,28.775,10.25,180.0,top
R9,21.175,10.25,0.0,top
SW10,45.905,45.02,270.0,top
SW2,3.9,58.1,0.0,top
SW3,3.85,46.9,0.0,top
SW4,1.75,18.275,270.0,top
SW5,25.0,31.05,0.0,top
SW6,25.0,14.079438,0.0,top
SW7,16.514719,22.564719,0.0,top
SW8,33.485281,22.564719,0.0,top
SW9,25.0,22.579438,0.0,top
TH1,16.2,3.5,270.0,bottom
U1,24.980227,52.933458,270.0,top
U10,11.9,39.15,90.0,top
U11,36.3,80.3,180.0,top
U2,8.54,70.449999,90.0,top
U3,7.6,21.8375,270.0,top
U4,2.475,5.2125,270.0,top
U5,11.925,6.245,180.0,top
U6,25.0,38.7,270.0,top
U7,41.1,44.35,90.0,top
U8,42.25,57.55,90.0,top
U9,42.7,66.65,180.0,top
Y1,11.5,53.45,270.0,top
